thesis_id,surface_age,northing,easting, zone, longitude, latitude,topo_feature,confidence,min_prof_faultdist,max_prof_faultdist,margin_only,XY_mean,XY_stdev,Z_mean,Z_stdev,T_mean,T_stdev,vert:lateral
B142,Qf6b,3986882,476042,11,-117.26591,36.02615,bar and swale,2,1,5,n,0.92,0.19,0.01,0.01,0.92,0.171534253,0.02
B143,Qf6a,3986947,475931,11,-117.26714,36.02674,bar,2.5,1,5,y,0.79,0.09,0.05,0.02,0.79,0.077717437,0.06
B144,Qf6a,3986838,476040,11,-117.26593,36.02576,bar,3,1,5,n,2.36,0.14,0.06,0.07,2.36,0.134253492,0.03
B145,Qf6a,3986980,475974,11,-117.26667,36.02704,bar,3,1,5,y,0.66,0.16,0.06,0.05,0.66,0.140712473,0.09
B146,Qf6b,3986946,475920,11,-117.26727,36.02673,swale,3,5,10,n,2.53,0.1,0.17,0.09,2.54,0.091956511,0.07
B147,Qf6b,3985218,474067,11,-117.28778,36.0111,bar,3,10,20,n,2.03,0.22,0.15,0.08,2.04,0.197709102,0.07
B148,Qf6a,3986914,475749,11,-117.26917,36.02643,swale,3,1,5,n,1.2,0.08,0.04,0.01,1.2,0.07781745,0.03
B149,Qf6a,3985171,474028,11,-117.2882,36.01068,bar,2,1,10,n,1.06,0.12,0.12,0.02,1.07,0.110302614,0.12
B150,Qf6b,3987283,476012,11,-117.26626,36.02977,bar,3,1,5,n,1.97,0.16,0.12,0.03,1.98,0.140513345,0.06
B151,Qf6a,3985313,474137,11,-117.287,36.01196,bar and swale,2,1,5,n,0.92,0.14,0.11,0.03,0.93,0.125283678,0.12
B152,Qf6a,3986741,475725,11,-117.26943,36.02488,bar and swale,2,2,5,n,1.2,0.22,0.1,0.03,1.2,0.194381069,0.09
B153,Qf6a,3987091,476009,11,-117.26629,36.02803,bar,3,1,5,n,0.96,0.16,0.07,0.01,0.96,0.143749783,0.07
B154,Qf6a,3987277,476122,11,-117.26503,36.02972,bar,2,1,5,n,0.35,0.08,0.05,0.01,0.36,0.076576759,0.13
B155,Qf6a,3987464,474920,11,-117.27838,36.03138,bar,2,1,5,n,0.77,0.15,0.03,0.02,0.77,0.129861465,0.04
B156,Qf6a,3987451,474917,11,-117.27841,36.03126,bar,2,1,5,y,0.67,0.21,0.11,0.04,0.68,0.175795336,0.16
B157,Qf6a,3987475,474973,11,-117.2778,36.03148,bar,3,1,5,n,0.72,0.16,0.02,0.01,0.72,0.139713994,0.03
B158,Qf6a,3987421,474891,11,-117.2787,36.03098,bar,2,1,3,n,1,0.19,0.03,0.01,1,0.163707055,0.03
B159,Qf6a,3987418,474891,11,-117.27871,36.03096,drainage,2,1,5,y,0.81,0.13,0.1,0.05,0.82,0.112853888,0.13
B160,Qf6b,3987266,476041,11,-117.26593,36.02962,bar,2,1,5,n,1.54,0.16,0.06,0.01,1.54,0.143303873,0.04
B161,Qf6b,3987241,476011,11,-117.26627,36.02939,bar,2,1,5,y,0.77,0.19,0.04,0.03,0.77,0.170481671,0.05
B162,Qf6a,3985325,474132,11,-117.28706,36.01207,bar,1,1,5,n,1.18,0.15,0.05,0.01,1.18,0.136323146,0.04
B163,Qf6a,3985352,474132,11,-117.28706,36.01231,bar,2,1,5,y,0.46,0.11,0.05,0.03,0.46,0.098952851,0.11
B164,Qf6a,3986891,475821,11,-117.26837,36.02623,bar,1,1,5,n,1.35,0.26,0.07,0.01,1.36,0.230789948,0.05
B165,Qf6a,3987328,476043,11,-117.26591,36.03017,bar,3,1,5,n,0.7,0.17,0.07,0.02,0.7,0.148243044,0.1
B166,Qf6a,3987327,476127,11,-117.26499,36.03017,bar,1,1,5,n,1.06,0.11,0.01,0.01,1.06,0.098914104,0.01
B167,Qf6a,3986911,475892,11,-117.26758,36.02641,bar,2,1,5,n,1.12,0.18,0.04,0.01,1.12,0.161666323,0.03
B168,Qf7,3987423,474839,11,-117.27928,36.031,bar,3,1,3,n,0.57,0.12,0.01,0,0.57,0.106874797,0.02
B169,Qf6a,3987585,475980,11,-117.26662,36.03249,bar,1,1,6,n,1.14,0.11,0.13,0.03,1.15,0.100796825,0.12
B170,Qf6a,3987277,476012,11,-117.26626,36.02971,swale,1,1,5,n,1.24,0.12,0.01,0.01,1.24,0.112071406,0.01
B171,Qf7,3987977,476260,11,-117.26353,36.03603,bar,2,1,4,n,0.59,0.05,0.03,0.01,0.59,0.043634848,0.05
B172,Qf6a,3987712,476250,11,-117.26363,36.03365,bar,2,1,5,n,0.9,0.17,0.16,0.04,0.91,0.150996689,0.18
B173,Qf6a,3987832,476259,11,-117.26353,36.03472,swale,2,1,3,n,1.34,0.13,0.04,0.03,1.35,0.120099958,0.03
B174,Qf6a,3987440,475999,11,-117.2664,36.03118,bar,2,1,4,n,1.51,0.09,0.1,0.03,1.52,0.078262379,0.07
B175,Qf6a,3987402,476005,11,-117.26634,36.03084,bar,2,1,4,y,1.68,0.11,0.12,0.05,1.68,0.09591663,0.07
B176,Qf6a,3987588,476124,11,-117.26502,36.03252,bar,1,2,7,n,1.66,0.17,0.1,0.04,1.66,0.151736614,0.06
B177,Qf6a,3987818,476307,11,-117.26299,36.0346,bar,2,1,5,n,0.78,0.12,0.1,0.02,0.79,0.105905618,0.12
B178,Qf6a,3985209,474073,11,-117.28771,36.01102,bar and swale,3,1,5,n,0.7,0.13,0.03,0.02,0.7,0.115931014,0.04
B179,Qf6a,3988016,476257,11,-117.26356,36.03639,bar,3,1,5,y,0.84,0.11,0.06,0.02,0.84,0.098508883,0.07
B180,Qf6a,3985231,474062,11,-117.28783,36.01122,bar and swale,3,1,5,n,0.89,0.13,0.04,0.01,0.89,0.118894912,0.04
B181,Qf6a,3987584,476124,11,-117.26502,36.03249,bar,3,1,5,y,1.1,0.17,0.02,0.01,1.1,0.154721606,0.01
B182,Qf6a,3985069,474610,11,-117.28174,36.00977,bar,3,1,3,y,1.13,0.22,0.04,0.02,1.13,0.201057206,0.04
B183,Qf6a,3985072,474604,11,-117.28181,36.0098,bar and swale,3,1,3,n,0.64,0.09,0.08,0.02,0.65,0.074188948,0.12
B184,Qf6a,3985196,474064,11,-117.28781,36.0109,swale,2,5,10,n,1.18,0.1,0.06,0.03,1.19,0.089396122,0.05
B185,Qf6a,3987589,475980,11,-117.26662,36.03253,bar,3,1,5,n,1.13,0.14,0.15,0.04,1.14,0.124996,0.14
B186,Qf6b,3985252,474076,11,-117.28768,36.01141,bar,2,1,5,n,1.22,0.16,0.04,0.03,1.23,0.146818104,0.03
B187,Qf6a,3987577,476123,11,-117.26503,36.03242,bar,2,1,5,n,1.02,0.16,0.06,0.07,1.03,0.149802591,0.06
B188,Qf6b,3985297,474173,11,-117.2866,36.01182,bar,1,1,5,n,0.61,0.09,0.06,0.03,0.61,0.078383672,0.09
B189,Qf6b,3986923,475835,11,-117.26821,36.02652,bar,2,1,5,n,0.76,0.13,0.01,0.01,0.76,0.111642286,0.02
